CONFIG,TYPE,OWNER,NOTE,6580,6735,6735M,6753,6757,6735_64,6735M_64,6753_64,6755_64,6797_64,6757_64
CONFIG_DEVMEM,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_DISABLE_CPU_SCHED_DOMAIN_BALANCE,COMMON,yt.chang,new config in this commit 415c6abc1901c852f7db422fa1f0cac2e9a6e1ef,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DM_CRYPT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_DM_DEBUG,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DM_UEVENT,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_DM_VERITY,COMMON,Calvin.Liao,for dm-verity,y,y,y,y,y,y,y,y,y,y,y
CONFIG_DM_ANDROID_VERITY,PROJECT,pangyen.chen,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DMA_API_DEBUG,USER,,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_DUAL_ROLE_USB_INTF,PROJECT,vend_jeff_chang001,new config at this commit ebc855c95fb2bdff04b66d63675dbac9387577a8,X,X,X,X,O,X,X,X,X,X,O
CONFIG_DYNAMIC_DEBUG,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_EFI,PLATFORM,my.chuang,arm64 only,X,X,X,X,X,N,N,N,N,N,N
CONFIG_EMBEDDED,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ENABLE_DEFAULT_TRACERS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ETHERNET,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_EXT4_DEBUG,USER;PROJECT,perry.hsu,nand project,X,X,X,X,,X,X,X,X,X,
CONFIG_EXT4_FS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_EXT4_ENCRYPTION,PROJECT,perry.hsu,disable in 1aadaf04723883ec1a64643c2a0d083e3135aafa,X,X,X,X,X,X,X,X,O,X,X
CONFIG_EXT4_FS_SECURITY,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FAULT_INJECTION,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FB,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FB_MODE_HELPERS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FB_TILEBLITTING,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FRAME_WARN,COMMON,,,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
CONFIG_PAGE_OWNER,USER;PLATFORM,Lucas-sr.Wei,,X(PLATFORM),X(PLATFORM),X(PLATFORM),X(PLATFORM),X(USER),X(PLATFORM),X(PLATFORM),X(PLATFORM),X(PLATFORM),X(USER),X(USER)
CONFIG_FUSE_FS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_FW_LOADER_USER_HELPER_FALLBACK,PLATFORM,Morven-CF.Yeh,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_GATOR,COMMON,Ian-y.Chen,,X,X,X,X,X,X,X,X,X,X,X
CONFIG_GT1151_CONFIG,PROJECT,zh.chen,,config4,config1,config2,config3,,config1,config2,config3,config8,O,
CONFIG_GT1151_FIRMWARE,PROJECT,zh.chen,,X,firmware1,firmware1,firmware1,,firmware1,firmware1,firmware1,,O,
CONFIG_GTP_AUTO_UPDATE,PROJECT,xing.fang,,X,y,y,y,,y,y,y,y,O,
CONFIG_GTP_CREATE_WR_NODE,PROJECT,xing.fang,,X,y,y,y,,y,y,y,y,O,
CONFIG_GTP_CUSTOM_CFG,PROJECT,xing.fang,,y,y,y,y,,y,y,y,y,O,
CONFIG_GTP_DRIVER_SEND_CFG,PROJECT,xing.fang,,X,y,y,y,,y,y,y,y,O,
CONFIG_GTP_HEADER_FW_UPDATE,PROJECT,xing.fang,,X,y,y,y,,y,y,y,y,O,
CONFIG_GTP_HOTKNOT,PROJECT,xing.fang,,X,y,y,y,,y,y,y,y,O,
CONFIG_GTP_POWER_CTRL_SLEEP,PROJECT,xing.fang,,O,y,y,O,,y,y,y,y,O,
CONFIG_HAVE_ARM_ARCH_TIMER,PLATFORM,,,y,y,y,y,y,X,X,X,X,X,X
CONFIG_HEADSET_SUPPORT_FIVE_POLE,PROJECT,zh.chen,new config in this commit d7e6a06694326785164e1d5412d5a9a8513648ad,X,X,X,X,,X,X,X,X,O,
